epoch,time_s,train_loss,val_loss,train_iou,val_iou,train_f1,val_f1,train_dice,val_dice,train_precision,val_precision,train_recall,val_recall,train_specificity,val_specificity,train_balanced_acc,val_balanced_acc
1,209.8,0.741207,0.66637,0.527526,0.659411,0.690693,0.794752,0.690694,0.794753,0.748274,0.763284,0.641342,0.828928,0.936865,0.932049,0.789103,0.880489
2,19.3,0.488787,0.561986,0.675301,0.712552,0.806184,0.832152,0.806185,0.832152,0.820269,0.835392,0.792576,0.828938,0.949142,0.956826,0.870859,0.892882
3,20.1,0.402986,0.519719,0.727053,0.744078,0.841957,0.853262,0.841958,0.853262,0.842237,0.84657,0.841679,0.860061,0.95355,0.958798,0.897614,0.90943
4,19.2,0.363916,0.507013,0.748119,0.747439,0.855913,0.855467,0.855913,0.855468,0.84696,0.820507,0.865057,0.89354,0.953987,0.948332,0.909522,0.920936
5,19.3,0.33791,0.477933,0.767448,0.774272,0.868424,0.872777,0.868425,0.872777,0.856482,0.869545,0.880705,0.876034,0.956681,0.96526,0.918693,0.920647
6,19.5,0.31633,0.452734,0.77801,0.789692,0.875147,0.882489,0.875147,0.882489,0.862617,0.867836,0.888046,0.897646,0.958733,0.963866,0.92339,0.930756
7,19.2,0.299779,0.439702,0.792096,0.804873,0.883988,0.891888,0.883988,0.891889,0.871269,0.861935,0.897084,0.923999,0.960935,0.960878,0.92901,0.942439
8,19.5,0.27989,0.440557,0.802364,0.804166,0.890346,0.891454,0.890346,0.891455,0.876647,0.849221,0.90448,0.938109,0.962409,0.955974,0.933444,0.947041
9,19.6,0.275059,0.434275,0.805034,0.80781,0.891987,0.893689,0.891987,0.893689,0.8759,0.903278,0.908677,0.884302,0.96224,0.974971,0.935459,0.929637
10,19.9,0.271429,0.450581,0.807925,0.795918,0.893759,0.886363,0.89376,0.886363,0.879021,0.875009,0.909001,0.898016,0.963179,0.966093,0.93609,0.932055
11,19.5,0.262844,0.427723,0.812647,0.81117,0.896641,0.895741,0.896641,0.895741,0.885918,0.902988,0.907627,0.88861,0.965219,0.974765,0.936423,0.931688
12,19.0,0.256471,0.42863,0.815823,0.81355,0.898571,0.89719,0.898571,0.89719,0.886699,0.858331,0.910765,0.939735,0.965889,0.959002,0.938327,0.949368
13,19.5,0.255267,0.417097,0.816945,0.824636,0.899251,0.90389,0.899251,0.903891,0.885768,0.895346,0.913151,0.9126,0.965217,0.971804,0.939184,0.942202
14,20.0,0.249582,0.422383,0.821009,0.82047,0.901707,0.901382,0.901708,0.901383,0.888357,0.904818,0.915466,0.897974,0.966486,0.975031,0.940976,0.936503
15,19.5,0.247667,0.467794,0.821951,0.779086,0.902275,0.875827,0.902276,0.875827,0.892221,0.824114,0.91256,0.934466,0.967512,0.947283,0.940036,0.940875
16,19.2,0.24557,0.4245,0.824415,0.81973,0.903757,0.900936,0.903758,0.900936,0.888794,0.892842,0.919235,0.909178,0.965977,0.971157,0.942606,0.940168
17,20.0,0.237478,0.428145,0.828068,0.815567,0.905948,0.898415,0.905949,0.898416,0.891419,0.87454,0.92096,0.923632,0.967074,0.964976,0.944017,0.944304
18,20.1,0.233917,0.424043,0.830275,0.814291,0.907268,0.897641,0.907268,0.897641,0.894207,0.909937,0.920717,0.885673,0.968083,0.976829,0.9444,0.931251
19,19.0,0.233271,0.415151,0.831396,0.822187,0.907936,0.902417,0.907937,0.902418,0.894339,0.877283,0.921955,0.929035,0.967967,0.965649,0.944961,0.947342
20,19.1,0.229297,0.42141,0.833767,0.816677,0.909348,0.899088,0.909349,0.899089,0.895726,0.873426,0.923392,0.926305,0.968082,0.964518,0.945737,0.945412
21,19.4,0.226009,0.410814,0.834632,0.828389,0.909863,0.90614,0.909863,0.906141,0.896544,0.906043,0.923584,0.906238,0.968734,0.97516,0.946159,0.940699
22,19.7,0.222343,0.40987,0.837694,0.831805,0.911679,0.90818,0.91168,0.90818,0.899514,0.880063,0.924179,0.938154,0.969606,0.966205,0.946893,0.952179
23,19.8,0.220937,0.401875,0.838444,0.83692,0.912123,0.911221,0.912124,0.911221,0.899119,0.897256,0.925511,0.925628,0.969486,0.971983,0.947498,0.948806
24,20.9,0.220746,0.406304,0.839789,0.834799,0.912918,0.909962,0.912919,0.909962,0.899216,0.897685,0.927045,0.92258,0.969398,0.972206,0.948222,0.947393
25,21.2,0.222173,0.409029,0.838894,0.832388,0.912389,0.908527,0.91239,0.908528,0.899712,0.897897,0.92543,0.919414,0.969705,0.972365,0.947567,0.945889
26,21.2,0.214717,0.426924,0.843179,0.818523,0.914918,0.900206,0.914918,0.900206,0.902497,0.897993,0.927686,0.902431,0.970333,0.972904,0.949009,0.937667
27,20.9,0.220756,0.404681,0.840151,0.834611,0.913132,0.90985,0.913133,0.90985,0.900369,0.892144,0.926264,0.928274,0.969691,0.970336,0.947977,0.949305
28,21.2,0.215774,0.406348,0.841471,0.835017,0.913911,0.910091,0.913912,0.910092,0.901511,0.896176,0.926658,0.924446,0.970281,0.971691,0.94847,0.948069
29,21.6,0.213381,0.407968,0.84436,0.833165,0.915613,0.90899,0.915613,0.908991,0.904366,0.895818,0.927143,0.922557,0.971047,0.97164,0.949095,0.947099
30,21.1,0.215066,0.414115,0.843817,0.832653,0.915293,0.908685,0.915293,0.908686,0.903858,0.895248,0.927022,0.922533,0.971042,0.971468,0.949032,0.947
31,21.8,0.2084,0.411789,0.84596,0.829952,0.916552,0.907075,0.916553,0.907075,0.904346,0.904174,0.929094,0.909995,0.97122,0.974508,0.950157,0.942251
32,21.9,0.206971,0.409357,0.847015,0.834047,0.917171,0.909515,0.917172,0.909516,0.90563,0.890629,0.929011,0.929221,0.971547,0.969838,0.950279,0.949529
33,21.7,0.212953,0.409545,0.847024,0.829604,0.917177,0.906867,0.917177,0.906867,0.90567,0.892021,0.92898,0.922217,0.971403,0.970492,0.950192,0.946354
