epoch,time_s,train_loss,val_loss,train_iou,val_iou,train_f1,val_f1,train_dice,val_dice
1,187.7,0.774904,0.75838,0.392839,0.481595,0.564083,0.650103,0.564084,0.650104
2,8.7,0.642297,0.66009,0.541416,0.555795,0.702491,0.714483,0.702492,0.714484
3,8.2,0.584472,0.587734,0.600187,0.634648,0.750145,0.776494,0.750146,0.776495
4,8.0,0.532555,0.536619,0.641095,0.677081,0.781301,0.807451,0.781302,0.807452
5,10.3,0.501244,0.509501,0.680802,0.678675,0.810092,0.808584,0.810092,0.808584
6,8.0,0.470071,0.483812,0.710224,0.697039,0.830562,0.821476,0.830563,0.821476
7,7.1,0.439766,0.452705,0.733525,0.71719,0.846281,0.835306,0.846281,0.835306
8,6.7,0.426956,0.410555,0.747932,0.753622,0.855791,0.859503,0.855791,0.859503
9,7.2,0.410918,0.394775,0.763889,0.75877,0.866141,0.862841,0.866142,0.862842
10,7.2,0.389341,0.377705,0.777539,0.771496,0.874848,0.87101,0.874849,0.871011
11,6.9,0.37872,0.356544,0.780508,0.783749,0.876725,0.878765,0.876725,0.878766
12,6.7,0.370843,0.347932,0.789682,0.787031,0.882482,0.880825,0.882483,0.880825
13,6.7,0.359151,0.344153,0.795681,0.786377,0.886216,0.880415,0.886216,0.880415
14,7.6,0.349603,0.323608,0.802707,0.804652,0.890557,0.891752,0.890557,0.891753
15,6.8,0.337584,0.319203,0.805214,0.802315,0.892097,0.890315,0.892098,0.890316
16,7.0,0.325601,0.312498,0.808781,0.80613,0.894283,0.89266,0.894283,0.89266
17,7.2,0.313715,0.299221,0.814157,0.813877,0.897559,0.897389,0.89756,0.897389
18,7.0,0.31187,0.297645,0.815148,0.814834,0.898161,0.89797,0.898162,0.897971
19,7.2,0.305683,0.293229,0.816018,0.810186,0.898689,0.895141,0.898689,0.895141
20,8.2,0.307514,0.294595,0.819325,0.808138,0.90069,0.893889,0.900691,0.89389
21,8.4,0.29241,0.282669,0.823695,0.817477,0.903325,0.899573,0.903325,0.899574
22,8.8,0.28479,0.281099,0.829392,0.821712,0.90674,0.902131,0.906741,0.902132
23,9.3,0.285978,0.269296,0.826826,0.817497,0.905204,0.899585,0.905205,0.899585
24,7.9,0.275233,0.279355,0.830112,0.814138,0.90717,0.897547,0.907171,0.897548
25,8.8,0.274302,0.276376,0.832916,0.814997,0.908842,0.898069,0.908842,0.89807
26,8.4,0.265689,0.263483,0.834715,0.820468,0.909912,0.901381,0.909913,0.901381
27,8.3,0.263824,0.264212,0.835832,0.819578,0.910575,0.900844,0.910576,0.900844
28,8.3,0.250822,0.255973,0.835843,0.822827,0.910582,0.902803,0.910582,0.902803
29,7.7,0.247464,0.249023,0.83865,0.829997,0.912245,0.907101,0.912245,0.907102
30,9.6,0.244544,0.239042,0.840922,0.831361,0.913587,0.907915,0.913588,0.907916
31,8.1,0.24283,0.235884,0.840662,0.831019,0.913434,0.907712,0.913434,0.907712
32,8.8,0.239407,0.240735,0.842111,0.829025,0.914289,0.906521,0.914289,0.906521
33,8.4,0.230573,0.229425,0.84528,0.833973,0.916153,0.909471,0.916154,0.909472
34,8.8,0.230637,0.22546,0.845866,0.836387,0.916498,0.910904,0.916498,0.910905
35,8.4,0.226366,0.224304,0.846824,0.834811,0.917059,0.909969,0.91706,0.90997
36,9.0,0.221367,0.218076,0.845845,0.83789,0.916485,0.911795,0.916485,0.911796
37,10.0,0.221702,0.218689,0.84642,0.836335,0.916822,0.910874,0.916823,0.910874
38,8.0,0.214088,0.213808,0.851564,0.839798,0.919832,0.912924,0.919832,0.912924
39,9.8,0.212176,0.217383,0.84985,0.838386,0.918831,0.912089,0.918831,0.912089
40,8.1,0.207155,0.207915,0.852797,0.837549,0.92055,0.911593,0.920551,0.911593
41,10.5,0.205124,0.207196,0.854547,0.839038,0.921569,0.912474,0.92157,0.912475
42,8.3,0.207199,0.204139,0.852702,0.843334,0.920495,0.915009,0.920496,0.915009
43,7.9,0.198316,0.202625,0.854371,0.841501,0.921467,0.913929,0.921467,0.91393
44,8.1,0.195649,0.199135,0.856121,0.84258,0.922483,0.914565,0.922484,0.914566
45,9.9,0.194082,0.201562,0.856994,0.842799,0.92299,0.914694,0.92299,0.914695
46,9.0,0.192854,0.195265,0.85623,0.844552,0.922547,0.915725,0.922548,0.915726
47,8.1,0.193007,0.198059,0.859615,0.844307,0.924508,0.915582,0.924508,0.915582
48,10.4,0.189093,0.204249,0.859107,0.842556,0.924214,0.914551,0.924215,0.914551
49,8.2,0.188725,0.191219,0.857297,0.845117,0.923166,0.916058,0.923166,0.916058
50,9.4,0.18204,0.190391,0.859238,0.847191,0.92429,0.917274,0.924291,0.917275
51,8.1,0.185139,0.187799,0.859895,0.846745,0.92467,0.917013,0.924671,0.917013
52,8.6,0.182407,0.18387,0.859447,0.846405,0.924411,0.916813,0.924411,0.916814
53,8.3,0.178127,0.184562,0.862156,0.844129,0.925976,0.915476,0.925976,0.915477
54,8.8,0.177123,0.184209,0.861208,0.847178,0.925429,0.917267,0.925429,0.917267
55,9.7,0.172796,0.186285,0.862563,0.843376,0.926211,0.915033,0.926211,0.915034
56,8.1,0.17239,0.190584,0.864875,0.844889,0.927542,0.915924,0.927542,0.915924
57,10.3,0.169789,0.178379,0.865413,0.848663,0.927851,0.918136,0.927851,0.918137
58,8.2,0.170913,0.175606,0.866304,0.852912,0.928363,0.920617,0.928363,0.920618
59,9.2,0.168076,0.18305,0.864875,0.848877,0.927542,0.918262,0.927542,0.918262
60,8.2,0.164172,0.175403,0.86709,0.852017,0.928814,0.920096,0.928815,0.920096
61,8.5,0.168451,0.177759,0.867132,0.849787,0.928838,0.918794,0.928839,0.918794
62,8.5,0.16312,0.175309,0.868813,0.851372,0.929801,0.919719,0.929802,0.91972
63,8.4,0.166236,0.176881,0.867573,0.852754,0.929091,0.920525,0.929091,0.920526
64,9.3,0.162943,0.179609,0.868391,0.851241,0.92956,0.919643,0.92956,0.919643
65,7.9,0.161825,0.174476,0.868174,0.852186,0.929435,0.920194,0.929436,0.920195
66,9.8,0.158627,0.175537,0.869447,0.852235,0.930165,0.920223,0.930165,0.920223
67,7.9,0.161517,0.172443,0.868875,0.852574,0.929837,0.92042,0.929837,0.920421
68,9.0,0.160596,0.175698,0.868433,0.852028,0.929584,0.920102,0.929584,0.920103
